sku,title,description,price,availability,imageURL,linkURL
78312,Galactic Bronze Star,This galactic bronze star is heightened by the lustrously silky finish.,8.99,TRUE,https://www.katandannie.com/img/product/78312_1-Z.jpg?fv=A0FE94C67EE08238AD28C1290CA5A0C6-53611,https://www.katandannie.com/galactic-bronze-star-78312
78461,Gingerbread House,This gingerbread house is adorned with brightly colored candies.,15.99,TRUE,https://www.katandannie.com/img/product/78461_1-Z.jpg?fv=BCF8EEA772568D5B51E06BDC68F09929-69625,https://www.katandannie.com/gingerbread-house-78461
78463,Gingerbread Man,This sparkled Gingerbread Man is looking mighty jolly in his bright green shirt and Santa hat.,15.99,TRUE,https://www.katandannie.com/img/product/78463_1-Z.jpg?fv=9F27C782F6E5C52248CEB7F9E78E2ADB-80633,https://www.katandannie.com/gingerbread-man-78463
73169,Glam Headphones,Music lovers will delight in our glitter and jeweled covered headphones this Christmas season. ,16.99,TRUE,https://www.katandannie.com/img/product/73169.frt-Z.jpg?fv=7ED0376D0B92C4752FFACB790824075D-63598,https://www.katandannie.com/glam-headphones-73169
71707,Glass & Gold Onion with Glitter Piping,"Half in luminous gold and half in clear crystal-like glass, this onion shaped ornament is accented with delicate gold glitter piping.",7.99,TRUE,https://www.katandannie.com/img/product/71707_1-Z.jpg?fv=4B105E25EFB56DEDAEDBA08BB01F3969-87833,https://www.katandannie.com/glass-gold-onion-with-glitter-piping-71707
71712,Glass & Gold Round with Glitter Piping,"Half in a vibrant gold and half in crystal-like glass, this round ornament is accented with delicate gold glitter piping.",7.99,TRUE,https://www.katandannie.com/img/product/71712_1-Z.jpg?fv=D57330DDE8C7B8D14046B3E14EF17B6C-60024,https://www.katandannie.com/glass-gold-round-with-glitter-piping-71712
71720,Glass & Gold Striped Round,A crystal clear glass round is striped in glowing gold glitter and lined with dainty golden microbeads.,7.99,TRUE,https://www.katandannie.com/img/product/71720_1-Z.jpg?fv=028A276E0B6E6012535ACA356845F017-79797,https://www.katandannie.com/glass-gold-striped-round-71720
71757,Glass & Green Glittered Round,"With alternating green and crystal clear stripes, this stunning glass round is meticulously detailed in straight gold glitter lines.",7.99,TRUE,https://www.katandannie.com/img/product/71757_1-Z.jpg?fv=EB72737B5BF3E7657C9EAA11313B259D-71467,https://www.katandannie.com/glass-green-glittered-round-71757
71746,Glass & Red Glittered Round,"With alternating red and crystal clear stripes, this stunning glass round is meticulously detailed in straight gold glitter lines.",7.99,TRUE,https://www.katandannie.com/img/product/71746_1-Z.jpg?fv=853C741D8B88F26CB3D8EFE6B344249E-68416,https://www.katandannie.com/glass-red-glittered-round-71746
78249,Glass Round with Red Ornament Inside,A radiant red ornament is housed within a larger transparent glass round creating added depth for this stunning ornament.,12.99,TRUE,https://www.katandannie.com/img/product/78249_1-Z.jpg?fv=B4D18AD64FC9DE373FE2AD3EBE1CD989-28494,https://www.katandannie.com/glass-round-with-red-ornament-inside-78249
71645,Glass Round with Silver Lines,An intricate detailing of silver glittered lines elevates the simplicity of this transparent glass round.,6.99,TRUE,https://www.katandannie.com/img/product/71645_1-Z.jpg?fv=6CFBC636ED16759D3FF17D5C5E9C5E59-69898,https://www.katandannie.com/glass-round-with-silver-lines-71645
71651,Glass Round with Silver Ornament Inside,"A radiant, silver glittered ornament is housed within a larger transparent glass round creating added depth for this stunning ornament.",13.99,TRUE,https://www.katandannie.com/img/product/71651_1-Z.jpg?fv=33657279DF291F3AFFAADC4AB66A85A5-52287,https://www.katandannie.com/glass-round-with-silver-ornament-inside-71651
71650,Glass Round with Silver Tulle,A crystal clear glass round that is elevated by shimmering silver tulle on the inside.,6.99,TRUE,https://www.katandannie.com/img/product/71650_1-Z.jpg?fv=DEB5640C8FCB76543D4236DEADB0AEA3-80382,https://www.katandannie.com/glass-round-with-silver-tulle-71650
71721,Glass with Gold Striped Round,The intricate detailing of glowing golden lines creates an added depth and elevates the simplicity of this crystal-like glass round.,7.99,TRUE,https://www.katandannie.com/img/product/71721_1-Z.jpg?fv=3DB3E353258B4BA50B219493B8D59CB5-63361,https://www.katandannie.com/glass-with-gold-striped-round-71721
73228,Glistening Gold Stripe Round,A single gold foil stripe with delicate frosting and subtle touches of glitter make this glass ornament truly spectacular. ,8.99,TRUE,https://www.katandannie.com/img/product/73228.frt-Z.jpg?fv=0468FDC7C1372AAEFEE4FE6FBEA3C772-79265,https://www.katandannie.com/glistening-gold-stripe-round-73228
73180,Glitter Avocado,The beloved fruit of a generation. This avocado glass ornament is one of our favorite treats. ,8.99,TRUE,https://www.katandannie.com/img/product/73180.frt-Z.jpg?fv=97CA699DAB239DA20828EDBF3D918DCE-53922,https://www.katandannie.com/glitter-avocado-73180
